GEOID,Centroid_X,Centroid_Y,minx,miny,maxx,maxy,MEDIAN_INCOME
15000US420032612001,-80.008110093,40.4922381678,-80.0178680003,40.4823589996,-80.0032200002,40.5010370003,56691.0
15000US420032614002,-80.0134961731,40.4619992241,-80.0189620004,40.4592729997,-80.0087360001,40.4651160003,14517.0
15000US420032701001,-80.0396191755,40.4845890167,-80.0455940001,40.480067,-80.0339609996,40.4895690002,61758.0
15000US420032701002,-80.0463622367,40.482399644,-80.053179,40.4771060001,-80.0404789998,40.4878039998,40625.0
15000US420032703001,-80.0351779147,40.4783520261,-80.0393099999,40.4726200001,-80.0308350002,40.4817070001,31314.0
15000US420032708001,-80.0376363709,40.4883995419,-80.0432509999,40.4843109997,-80.0330810004,40.4914549999,62727.0
15000US420032708002,-80.0308312973,40.4811678723,-80.0358199999,40.4764369999,-80.0255769997,40.4852200002,47841.0
15000US420032715001,-80.0239774713,40.4750762431,-80.0317179996,40.4706120001,-80.0171759999,40.4827480004,50255.0
15000US420032715002,-80.0297332602,40.4706226591,-80.0344679996,40.4655420002,-80.0251469996,40.476498,24536.0
15000US420032715003,-80.0340731813,40.4716727376,-80.0378629997,40.4654490004,-80.0302130003,40.4763379998,27330.0
15000US420032902005,-79.9878790138,40.4039349362,-79.992334,40.401105,-79.9835889996,40.4071720001,40240.0
15000US420033102001,-79.912187526,40.3771407263,-79.9156679998,40.3728049999,-79.9083470003,40.3809420001,41481.0
15000US420033102002,-79.906277732,40.3680699066,-79.9129270002,40.3629220001,-79.9002950004,40.3730050001,48889.0
15000US420033103001,-79.9225466233,40.3879256061,-79.9320380002,40.3780299998,-79.9133059997,40.3993059998,66250.0
15000US420033204001,-79.9903225599,40.3813307453,-79.9959979999,40.3778220001,-79.9842260002,40.3846809998,51107.0
15000US420033204002,-79.9933933963,40.3870149467,-79.9964819997,40.3839090002,-79.990345,40.3896119997,76750.0
15000US420033204003,-79.9952262052,40.3912000675,-79.9973979997,40.3858420003,-79.9915010003,40.3956700003,39258.0
15000US420033206001,-80.0068192406,40.3971366743,-80.015267,40.3918989999,-79.9981470001,40.4020769999,53952.0
15000US420030203001,-79.9814325161,40.4542735001,-79.9961329998,40.4442539996,-79.968074,40.46587,73214.0
15000US420030305001,-79.9856241453,40.4444333371,-79.992744,40.4410300002,-79.9803420001,40.4485200003,16890.0
15000US420030305002,-79.9813475572,40.4403871436,-79.9860099998,40.4382289997,-79.9757230002,40.4438699999,18636.0
15000US420030506001,-79.9596808152,40.4552807358,-79.9660049999,40.4522709997,-79.9540679998,40.458654,35291.0
15000US420030506002,-79.9616517335,40.4521206567,-79.9651829998,40.4504169996,-79.9584529997,40.4541980004,28105.0
15000US420030506003,-79.9591364543,40.4507230016,-79.9653720004,40.4483050003,-79.9540699999,40.4539180001,27288.0
15000US420030509001,-79.9743609711,40.4510291528,-79.9838990004,40.446369,-79.9649249996,40.4558690002,11274.0
15000US420030510001,-79.9711266502,40.4419739841,-79.9750450004,40.4387710004,-79.9674989996,40.4449930004,13281.0
15000US420030802001,-79.9510077585,40.4593318514,-79.9559359996,40.4568729997,-79.9470930001,40.462184,42841.0
15000US420030804001,-79.9441129249,40.4574302581,-79.9482359998,40.4550399997,-79.9385910002,40.4606149996,48333.0
15000US420030804002,-79.9478970735,40.4551218553,-79.9514800001,40.4525849998,-79.9430820004,40.4573439998,18056.0
15000US420030806001,-79.9396142877,40.4615947497,-79.9435349997,40.4594459996,-79.9360740001,40.464153,64083.0
15000US420030807001,-79.9335930188,40.4627928501,-79.9363019998,40.4606779998,-79.9306730002,40.4647719997,50167.0
15000US420030807002,-79.9351049012,40.4592964663,-79.9370579996,40.4565649999,-79.9323989997,40.4617630004,30279.0
15000US420030809001,-79.9463541917,40.462378056,-79.9498660003,40.4588120001,-79.9432180004,40.4656980002,44963.0
15000US420030809002,-79.9413066685,40.4638456322,-79.9455809997,40.462204,-79.9351079996,40.4652969997,39286.0
15000US420032814001,-80.056928187,40.4496309855,-80.0628400004,40.4467070003,-80.0512740003,40.4526049998,43214.0
15000US420032815001,-80.0509135468,40.4402148088,-80.0559700001,40.437495,-80.0451130004,40.4437109998,38068.0
15000US420032901001,-79.9944767656,40.4017416239,-80.0006169998,40.3961180002,-79.9891210002,40.408165,37266.0
15000US420031401002,-79.933753532,40.4403035678,-79.9423099999,40.4375630004,-79.9276829999,40.4451969999,150313.0
15000US420031401004,-79.9428550084,40.4461743545,-79.947188,40.4443329997,-79.9363870002,40.447792,94615.0
15000US420031402001,-79.9235980695,40.4483633711,-79.9284369996,40.4438509999,-79.9202299997,40.4528939997,98182.0
15000US420031402002,-79.9297263825,40.4470934785,-79.9372909996,40.4440049998,-79.9253900002,40.4502120001,62829.0
15000US420031403003,-79.9234589034,40.4397144505,-79.927784,40.4380389999,-79.919359,40.4418149996,150125.0
15000US420031403004,-79.9230623212,40.4427330154,-79.9279250002,40.4409009997,-79.917175,40.4443260002,82778.0
